Job title,Company,Deadline,Location
Սկսնակ ՄՌ մասնագետ,Հայաստանի Հաշվապահների Ասոցիացիա,06 May 2024,Yerevan
Sales Consultant,Pregomesh,06 May 2024,Yerevan
Մանրէաբան,Թամարա ՍՊԸ,06 May 2024,Abovyan
chemist-laboratorian,Թամարա ՍՊԸ,06 May 2024,Abovyan
Սենյակային բույսերի վաճառքի մասնագետ,ABIO Garden Mall,06 May 2024,Yerevan
Աշխղեկ/Construction coordinator,Gravity LLC,06 May 2024,Yerevan
Underwriting specialist,"""INGO ARMENIA"" Insurance CJSC",05 May 2024,Yerevan
SMM Specialist (On-Site),Logix Software LLC,05 May 2024,Yerevan
HR Assistant (on-site) Part time,Logix Software LLC,05 May 2024,Yerevan
WordPress Developer (On-site),Logix Software LLC,05 May 2024,Yerevan
“Kapan” Branch Business Development Manager,FINCA UCO CJSC,11 April 2024,Kajaran
“Komitas” Branch Leading/Senior Credit Officer/Business Development Manager,FINCA UCO CJSC,12 April 2024,Yerevan
Product Manager,FINCA UCO CJSC,11 April 2024,Yerevan
Տեղեկատվական թիմի մասնագետ,FINCA UCO CJSC,11 April 2024,Yerevan
“Kapan” Branch Business Development Manager,FINCA UCO CJSC,11 April 2024,Kapan
"SENIOR PROJECT MANAGER (Project Management, Digital Transformation, Business Transformation)",FINCA UCO CJSC,11 April 2024,Yerevan
“Agatangeghos” Branch Credit Officer/Business Development Manager,FINCA UCO CJSC,11 April 2024,Yerevan
Internal Control Leading/Senior Specialist,FINCA UCO CJSC,11 April 2024,Yerevan
Senior Procurement Specialist,FINCA UCO CJSC,11 April 2024,Yerevan
Electrical engineer,Energy Service LLC,05 May 2024,Yerevan
Manual QA Engineer,Ucraft,05 May 2024,Yerevan
Internal Audit/Reporting Specialist,Partner Company,05 May 2024,Yerevan
Network Administrator/ IT and Cybersecurity Directorate / Network and Communications Management Division,CENTRAL BANK OF ARMENIA,26 April 2024,Dilijan
Payroll Auditor,SoftConstruct,27 April 2024,Yerevan
QA Engineer,Evocabank,28 April 2024,Yerevan
Ֆինանսական բաժնի մասնագետ,C&F Co LLC,05 May 2024,Yerevan
Փորձառու Հաշվապահ,Հայաստանի Հաշվապահների Ասոցիացիա,05 May 2024,Yerevan
"Գործավար, տնօրենի օգնական",Արատտա Քընսալթինգ,05 May 2024,Yerevan
Mathematician,Digitain,05 May 2024,Yerevan
Հաշվառման և վերահսկողության մասնագետ,"""INGO ARMENIA"" Insurance CJSC",05 May 2024,Yerevan
Նախաորակավորման ծրագիր/Վարդենիս,"""Ardshinbank"" CJSC",21 April 2024,Vardenis
Նախաորակավորման ծրագիր/Ստեփանավան,"""Ardshinbank"" CJSC",21 April 2024,Stepanavan
Նախաորակավորման ծրագիր/Սարդարապատ,"""Ardshinbank"" CJSC",21 April 2024,Armavir
Նախաորակավորման ծրագիր/Չարենցավան,"""Ardshinbank"" CJSC",21 April 2024,Charentsavan
Նախաորակավորման ծրագիր/Մեղրի,"""Ardshinbank"" CJSC",21 April 2024,Meghri
Նախաորակավորման ծրագիր/Մասիս,"""Ardshinbank"" CJSC",21 April 2024,Masis
Նախաորակավորման ծրագիր/Կապան,"""Ardshinbank"" CJSC",21 April 2024,Kapan
Նախաորակավորման ծրագիր/Թալին,"""Ardshinbank"" CJSC",21 April 2024,Talin
Նախաորակավորման ծրագիր/Արտաշատ,"""Ardshinbank"" CJSC",21 April 2024,Artashat
Mechanic's Instructor,Children of Armenia Fund (COAF),30 April 2024,Vanadzor
Operations Manager,SoftConstruct,30 April 2024,Yerevan
Junior Marketing Manager,Sparsis Holding,05 May 2024,Yerevan
Marketing Project Manager,SoftConstruct,30 April 2024,Yerevan
Network Security Administrator/IT &amp; Cybersecurity Directorate / Information &amp; Cybersecurity Division,CENTRAL BANK OF ARMENIA,26 April 2024,Yerevan
Project Coordinator | Sport Generate,Digitain,04 May 2024,Yerevan
Relocation Specialist,SoftConstruct,05 May 2024,Yerevan
